Agrupación Política,Lista,Cargo,Género
ALIANZA CAMBIA SANTA CRUZ,EL CAMBIO DE NUESTRAS VIDAS,DIPUTADOS NACIONALES,Masculino
ALIANZA CAMBIA SANTA CRUZ,SUMAMOS FUERZAS EN SANTA CRUZ,DIPUTADOS NACIONALES,Masculino
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,1A UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,Masculino
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES-UNIDAD,1A UNIR Y FORTALECER LA IZQUIERDA,DIPUTADOS NACIONALES,Femenino
ALIANZA POR SANTA CRUZ,HACER SANTA CRUZ,DIPUTADOS NACIONALES,Masculino
ALIANZA UNION POR LA PATRIA,ACUERDO SANTACRUCEÑO,DIPUTADOS NACIONALES,Femenino
ALIANZA UNION POR LA PATRIA,CONSTRUYAMOS JUNTOS,DIPUTADOS NACIONALES,Femenino
ALIANZA FRENTE AMPLIO POR LA SOBERANIA,A   SOBERANíA POPULAR,DIPUTADOS NACIONALES,Masculino
ALIANZA FRENTE DE IZQUIERDA Y TRABAJADORES- UNIDAD,B UNIDAD DE LUCHADORES Y LA IZQUIERDA ,DIPUTADOS NACIONALES,Femenino
ALIANZA FRENTE DE IZQUIERDA Y TRABAJADORES- UNIDAD,UNIR Y FORTALECER LA IZQUIERDA A,DIPUTADOS NACIONALES,Masculino
ALIANZA JUNTOS POR EL CAMBIO,A. EL CAMBIO DE NUESTRAS VIDAS,DIPUTADOS NACIONALES,Masculino
ALIANZA JUNTOS POR EL CAMBIO,B. LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,Masculino
ALIANZA LA FUERZA DE SANTA FE,PARTICIPACION Y SOLIDARIDAD  LETRA A,DIPUTADOS NACIONALES,Masculino
ALIANZA LA LIBERTAD AVANZA,LISTA A: LIBERTAD POR SIEMPRE,DIPUTADOS NACIONALES,Femenino
ALIANZA NUEVO RUMBO,1A   VECINOS CON RUMBO,DIPUTADOS NACIONALES,Femenino
ALIANZA NUEVO RUMBO,2B   POR LOS VALORES,DIPUTADOS NACIONALES,Masculino
ALIANZA NUEVO RUMBO,3C   RECREO SOCIAL,DIPUTADOS NACIONALES,Masculino
ALIANZA UNION POR LA PATRIA,A  CELESTE Y BLANCA,DIPUTADOS NACIONALES,Masculino
ENCUENTRO REPUBLICANO FEDERAL,A   DEMOS,DIPUTADOS NACIONALES,Masculino
ENCUENTRO REPUBLICANO FEDERAL,B   MODERADO,DIPUTADOS NACIONALES,Masculino
ENCUENTRO REPUBLICANO FEDERAL,C   REPUBLICANO POPULAR,DIPUTADOS NACIONALES,Femenino
